iter	Passed	Remaining
0	114	114593
1	118	58894
2	125	41843
3	129	32242
4	132	26436
5	140	23212
6	144	20497
7	148	18413
8	155	17152
9	161	15972
10	166	14978
11	175	14488
12	188	14342
13	193	13621
14	208	13695
15	217	13393
16	222	12841
17	224	12273
18	230	11912
19	233	11445
20	236	11007
21	237	10560
22	239	10169
23	243	9899
24	246	9597
25	247	9281
26	249	8978
27	250	8696
28	251	8429
29	252	8180
30	254	7945
31	255	7723
32	257	7548
33	258	7353
34	259	7166
35	260	6988
36	262	6820
37	263	6661
38	264	6518
39	265	6375
40	266	6237
41	267	6106
42	268	5980
43	269	5859
44	271	5765
45	272	5658
46	273	5553
47	274	5452
48	275	5355
49	276	5261
50	277	5170
51	278	5084
52	280	5009
53	281	4937
54	283	4866
55	284	4794
56	286	4731
57	287	4663
58	288	4595
59	289	4530
60	290	4466
61	291	4404
62	292	4344
63	293	4286
64	294	4234
65	295	4180
66	296	4128
67	297	4076
68	298	4026
69	299	3977
70	300	3930
71	302	3898
72	303	3860
73	305	3818
74	306	3776
75	307	3734
76	308	3693
77	309	3656
78	310	3618
79	311	3580
80	312	3543
81	313	3507
82	315	3488
83	317	3458
84	318	3429
85	319	3396
86	320	3364
87	321	3332
88	322	3303
89	324	3278
90	325	3252
91	327	3228
92	328	3204
93	333	3209
94	334	3186
95	335	3161
96	337	3138
97	338	3114
98	339	3090
99	340	3067
100	342	3045
101	343	3023
102	346	3013
103	347	2992
104	348	2969
105	349	2946
106	350	2923
107	351	2901
108	352	2879
109	353	2860
110	354	2840
111	355	2819
112	356	2799
113	357	2779
114	358	2759
115	361	2755
116	362	2737
117	363	2718
118	364	2699
119	365	2681
120	366	2663
121	367	2645
122	368	2628
123	369	2610
124	370	2594
125	371	2577
126	372	2560
127	373	2544
128	376	2539
129	377	2527
130	378	2513
131	380	2499
132	381	2485
133	382	2470
134	383	2455
135	384	2440
136	385	2428
137	386	2414
138	387	2399
139	388	2386
140	391	2382
141	392	2369
142	392	2352
143	393	2339
144	394	2326
145	395	2314
146	396	2301
147	397	2290
148	398	2277
149	399	2266
150	400	2253
151	401	2239
152	402	2227
153	403	2216
154	406	2213
155	407	2202
156	408	2190
157	408	2179
158	409	2168
159	410	2157
160	411	2144
161	411	2130
162	413	2121
163	413	2110
164	414	2100
165	415	2088
166	416	2078
167	417	2068
168	418	2058
169	419	2050
170	420	2040
171	421	2029
172	422	2020
173	423	2009
174	424	2000
175	425	1991
176	426	1981
177	427	1974
178	428	1965
179	429	1956
180	430	1946
181	431	1937
182	433	1936
183	434	1928
184	435	1918
185	436	1909
186	437	1901
187	438	1893
188	439	1884
189	440	1877
190	441	1869
191	442	1861
192	442	1851
193	443	1843
194	444	1834
195	444	1825
196	445	1816
197	446	1808
198	448	1806
199	449	1797
200	450	1790
201	451	1782
202	452	1775
203	453	1768
204	454	1761
205	454	1752
206	455	1745
207	457	1741
208	458	1736
209	459	1728
210	460	1722
211	461	1715
212	463	1713
213	465	1708
214	465	1700
215	466	1693
216	467	1687
217	468	1679
218	469	1672
219	469	1665
220	470	1659
221	471	1652
222	472	1646
223	473	1640
224	474	1633
225	474	1626
226	475	1618
227	477	1616
228	478	1611
229	479	1604
230	480	1598
231	480	1591
232	481	1584
233	481	1577
234	482	1572
235	483	1564
236	484	1558
237	485	1553
238	485	1546
239	486	1541
240	487	1535
241	488	1528
242	488	1521
243	489	1516
244	489	1509
245	490	1503
246	492	1501
247	493	1495
248	493	1489
249	494	1482
250	495	1477
251	496	1472
252	496	1466
253	497	1461
254	498	1457
255	499	1452
256	500	1448
257	501	1442
258	501	1436
259	502	1430
260	503	1424
261	504	1419
262	504	1413
263	505	1407
264	507	1407
265	508	1403
266	509	1398
267	510	1393
268	511	1388
269	512	1384
270	512	1379
271	513	1374
272	514	1369
273	514	1364
274	515	1360
275	517	1356
276	518	1352
277	518	1347
278	519	1343
279	522	1343
280	523	1339
281	524	1334
282	524	1330
283	525	1324
284	526	1320
285	527	1316
286	528	1313
287	529	1309
288	530	1305
289	531	1300
290	532	1296
291	532	1292
292	533	1287
293	534	1283
294	537	1283
295	537	1279
296	538	1274
297	539	1270
298	540	1266
299	541	1262
300	542	1259
301	543	1255
302	544	1251
303	544	1247
304	545	1242
305	546	1239
306	547	1235
307	548	1232
308	549	1228
309	551	1227
310	552	1224
311	554	1221
312	554	1217
313	555	1214
314	556	1210
315	557	1206
316	558	1204
317	560	1201
318	561	1198
319	562	1194
320	563	1191
321	564	1188
322	566	1188
323	567	1184
324	568	1181
325	569	1178
326	570	1174
327	571	1171
328	572	1168
329	573	1164
330	575	1162
331	576	1159
332	577	1155
333	578	1152
334	579	1149
335	581	1149
336	582	1146
337	583	1143
338	584	1140
339	585	1136
340	586	1133
341	587	1130
342	588	1127
343	589	1124
344	590	1121
345	591	1118
346	592	1115
347	593	1112
348	596	1112
349	597	1109
350	598	1106
351	599	1103
352	600	1100
353	601	1097
354	602	1094
355	603	1091
356	604	1089
357	605	1086
358	606	1083
359	607	1080
360	608	1077
361	611	1077
362	612	1074
363	613	1072
364	614	1069
365	615	1066
366	616	1063
367	617	1060
368	618	1058
369	619	1055
370	620	1052
371	621	1049
372	622	1047
373	623	1044
374	626	1043
375	627	1041
376	628	1038
377	629	1035
378	630	1033
379	631	1030
380	632	1027
381	633	1025
382	634	1022
383	635	1019
384	636	1017
385	637	1014
386	638	1011
387	641	1011
388	642	1008
389	643	1006
390	644	1003
391	645	1001
392	646	998
393	647	995
394	648	993
395	649	991
396	650	988
397	651	985
398	652	983
399	653	980
400	656	980
401	657	978
402	659	976
403	660	974
404	661	971
405	662	969
406	663	966
407	665	965
408	666	962
409	667	960
410	668	957
411	669	955
412	672	955
413	673	953
414	674	950
415	675	948
416	676	945
417	677	943
418	678	941
419	679	938
420	680	936
421	681	934
422	683	932
423	686	932
424	687	930
425	688	927
426	689	925
427	690	922
428	691	920
429	692	918
430	695	918
431	699	920
432	707	926
433	709	925
434	711	923
435	712	921
436	713	919
437	714	916
438	715	914
439	719	915
440	721	914
441	722	912
442	723	910
443	725	907
444	726	905
445	727	903
446	728	901
447	729	898
448	735	902
449	737	900
450	738	898
451	740	897
452	741	894
453	742	892
454	743	890
455	744	888
456	749	890
457	751	889
458	753	887
459	754	885
460	755	883
461	756	880
462	757	878
463	758	875
464	762	877
465	764	875
466	765	873
467	766	871
468	768	869
469	769	867
470	770	865
471	771	863
472	772	861
473	775	860
474	776	858
475	778	856
476	779	854
477	780	852
478	781	849
479	782	847
480	783	845
481	784	843
482	785	841
483	786	838
484	787	836
485	789	835
486	791	834
487	793	832
488	794	830
489	795	828
490	796	825
491	798	824
492	799	821
493	800	819
494	801	817
495	802	815
496	803	812
497	805	812
498	807	810
499	808	808
500	809	805
501	810	803
502	811	801
503	812	799
504	813	797
505	814	795
506	815	793
507	816	790
508	817	788
509	819	787
510	821	785
511	822	783
512	823	781
513	824	779
514	825	777
515	826	774
516	827	773
517	829	771
518	830	769
519	831	767
520	832	765
521	834	763
522	835	762
523	836	760
524	837	757
525	838	755
526	839	753
527	840	751
528	842	750
529	843	748
530	845	746
531	846	744
532	847	742
533	848	740
534	849	738
535	850	736
536	851	734
537	852	732
538	853	730
539	854	728
540	855	726
541	856	724
542	858	722
543	859	720
544	859	717
545	860	715
546	862	713
547	864	713
548	865	711
549	866	709
550	867	707
551	868	705
552	869	703
553	870	701
554	871	698
555	872	697
556	874	695
557	875	693
558	876	691
559	877	689
560	879	688
561	880	686
562	881	684
563	882	682
564	883	680
565	884	678
566	885	676
567	886	674
568	888	672
569	889	671
570	890	669
571	892	667
572	895	666
573	896	665
574	897	663
575	898	661
576	899	659
577	901	658
578	902	656
579	904	654
580	905	653
581	906	651
582	909	650
583	910	648
584	912	647
585	913	645
586	914	643
587	916	642
588	918	640
589	919	639
590	920	637
591	922	635
592	924	634
593	925	632
594	927	631
595	928	629
596	930	627
597	933	627
598	935	625
599	936	624
600	940	624
601	941	622
602	942	620
603	944	618
604	945	617
605	946	615
606	947	613
607	949	612
608	950	610
609	951	608
610	953	606
611	955	605
612	956	603
613	957	601
614	958	600
615	959	598
616	961	596
617	962	594
618	964	593
619	965	591
620	966	589
621	968	588
622	969	586
623	971	585
624	972	583
625	974	581
626	975	580
627	977	578
628	979	577
629	980	575
630	981	573
631	983	572
632	984	570
633	985	568
634	986	567
635	987	565
636	988	563
637	989	561
638	991	559
639	992	558
640	993	556
641	994	554
642	995	552
643	996	550
644	998	549
645	999	547
646	1000	545
647	1001	543
648	1002	542
649	1003	540
650	1004	538
651	1005	536
652	1006	534
653	1007	533
654	1008	531
655	1009	529
656	1010	527
657	1013	526
658	1014	524
659	1015	523
660	1016	521
661	1017	519
662	1018	517
663	1019	515
664	1020	514
665	1022	512
666	1023	511
667	1024	509
668	1025	507
669	1027	505
670	1028	504
671	1029	502
672	1030	500
673	1031	499
674	1032	497
675	1033	495
676	1034	493
677	1035	491
678	1036	490
679	1037	488
680	1039	486
681	1040	484
682	1041	483
683	1042	481
684	1043	479
685	1044	478
686	1045	476
687	1046	474
688	1047	472
689	1048	471
690	1049	469
691	1050	467
692	1051	465
693	1052	464
694	1053	462
695	1054	460
696	1057	459
697	1059	458
698	1060	456
699	1061	455
700	1063	453
701	1064	452
702	1066	450
703	1067	448
704	1069	447
705	1070	445
706	1072	444
707	1073	442
708	1074	440
709	1075	439
710	1076	437
711	1077	435
712	1078	433
713	1079	432
714	1080	430
715	1081	429
716	1082	427
717	1083	425
718	1084	423
719	1087	422
720	1088	421
721	1089	419
722	1090	417
723	1091	415
724	1092	414
725	1093	412
726	1094	411
727	1095	409
728	1096	407
729	1097	405
730	1098	404
731	1099	402
732	1101	401
733	1102	399
734	1103	397
735	1104	396
736	1105	394
737	1106	392
738	1107	391
739	1109	389
740	1110	388
741	1112	386
742	1113	385
743	1114	383
744	1116	382
745	1117	380
746	1118	378
747	1119	377
748	1120	375
749	1121	373
750	1122	372
751	1124	370
752	1125	369
753	1126	367
754	1127	365
755	1128	364
756	1129	362
757	1131	361
758	1132	359
759	1133	358
760	1134	356
761	1135	354
762	1136	353
763	1137	351
764	1138	349
765	1140	348
766	1141	346
767	1142	345
768	1143	343
769	1144	341
770	1147	340
771	1149	339
772	1150	337
773	1151	336
774	1152	334
775	1153	333
776	1154	331
777	1156	329
778	1157	328
779	1159	326
780	1163	326
781	1164	324
782	1165	323
783	1166	321
784	1167	319
785	1168	318
786	1169	316
787	1170	314
788	1172	313
789	1174	312
790	1178	311
791	1180	309
792	1181	308
793	1184	307
794	1185	305
795	1186	304
796	1188	302
797	1194	302
798	1197	301
799	1199	299
800	1200	298
801	1202	296
802	1204	295
803	1207	294
804	1209	293
805	1211	291
806	1212	289
807	1213	288
808	1215	286
809	1216	285
810	1221	284
811	1223	283
812	1225	281
813	1226	280
814	1228	278
815	1229	277
816	1231	275
817	1232	274
818	1235	272
819	1237	271
820	1238	270
821	1240	268
822	1241	267
823	1243	265
824	1245	264
825	1246	262
826	1247	261
827	1251	259
828	1253	258
829	1254	257
830	1256	255
831	1258	254
832	1260	252
833	1262	251
834	1263	249
835	1267	248
836	1268	247
837	1269	245
838	1270	243
839	1271	242
840	1273	240
841	1274	239
842	1275	237
843	1276	235
844	1277	234
845	1278	232
846	1282	231
847	1284	230
848	1285	228
849	1286	227
850	1287	225
851	1288	223
852	1290	222
853	1291	220
854	1292	219
855	1293	217
856	1296	216
857	1297	214
858	1298	213
859	1299	211
860	1300	209
861	1301	208
862	1302	206
863	1303	205
864	1304	203
865	1305	202
866	1306	200
867	1307	198
868	1308	197
869	1311	195
870	1312	194
871	1313	192
872	1314	191
873	1315	189
874	1316	188
875	1317	186
876	1318	184
877	1319	183
878	1320	181
879	1321	180
880	1322	178
881	1323	177
882	1326	175
883	1327	174
884	1328	172
885	1329	171
886	1330	169
887	1331	167
888	1332	166
889	1333	164
890	1334	163
891	1335	161
892	1336	160
893	1337	158
894	1338	157
895	1341	155
896	1342	154
897	1343	152
898	1344	151
899	1345	149
900	1346	147
901	1347	146
902	1348	144
903	1350	143
904	1351	141
905	1352	140
906	1353	138
907	1356	137
908	1357	135
909	1358	134
910	1359	132
911	1360	131
912	1361	129
913	1362	128
914	1363	126
915	1364	125
916	1365	123
917	1366	122
918	1367	120
919	1368	119
920	1371	117
921	1373	116
922	1375	114
923	1377	113
924	1378	111
925	1379	110
926	1380	108
927	1381	107
928	1382	105
929	1383	104
930	1385	102
931	1387	101
932	1388	99
933	1389	98
934	1390	96
935	1391	95
936	1392	93
937	1393	92
938	1394	90
939	1395	89
940	1396	87
941	1397	86
942	1398	84
943	1401	83
944	1402	81
945	1403	80
946	1404	78
947	1405	77
948	1406	75
949	1407	74
950	1408	72
951	1409	71
952	1410	69
953	1411	68
954	1412	66
955	1413	65
956	1417	63
957	1418	62
958	1420	60
959	1421	59
960	1423	57
961	1424	56
962	1425	54
963	1426	53
964	1427	51
965	1428	50
966	1430	48
967	1431	47
968	1432	45
969	1433	44
970	1434	42
971	1435	41
972	1436	39
973	1438	38
974	1439	36
975	1440	35
976	1442	33
977	1443	32
978	1444	30
979	1446	29
980	1447	28
981	1448	26
982	1449	25
983	1450	23
984	1451	22
985	1453	20
986	1454	19
987	1456	17
988	1457	16
989	1459	14
990	1461	13
991	1462	11
992	1463	10
993	1465	8
994	1467	7
995	1469	5
996	1470	4
997	1472	2
998	1475	1
999	1477	0
